strategy,feature_count_target,n_selected,seed,class_id,class_name,producer_accuracy,user_accuracy,f1,support_true,support_pred
RF_VIF10,35,15,2024,4,Rubber,0.8666666666666667,0.9873417721518988,0.9230769230769232,90,79
RF_VIF10,35,15,2024,5,Partially vegetative,0.9555555555555556,0.945054945054945,0.9502762430939227,90,91
RF_VIF10,35,15,2024,6,Rice,0.9444444444444444,1.0,0.9714285714285714,90,85
RF_VIF10,35,15,2024,7,Other upland crops,0.9555555555555556,0.9347826086956522,0.945054945054945,90,92
RF_VIF10,35,15,2024,8,Forest,0.9555555555555556,0.8775510204081632,0.9148936170212767,90,98
RF_VIF10,35,15,2024,9,Water,0.9666666666666667,0.9775280898876404,0.9720670391061451,90,89
RF_VIF10,35,15,2024,10,Built,0.9777777777777777,0.967032967032967,0.9723756906077348,90,91
RF_VIF10,35,15,2025,1,Sun coffee,0.7555555555555555,0.8292682926829268,0.7906976744186047,90,82
RF_VIF10,35,15,2025,2,Intercrop coffee,0.8777777777777778,0.79,0.831578947368421,90,100
RF_VIF10,35,15,2025,3,Newly planted coffee,0.9888888888888889,0.9468085106382979,0.9673913043478262,90,94
RF_VIF10,35,15,2025,4,Rubber,0.8666666666666667,0.9873417721518988,0.9230769230769232,90,79
RF_VIF10,35,15,2025,5,Partially vegetative,0.9555555555555556,0.945054945054945,0.9502762430939227,90,91
RF_VIF10,35,15,2025,6,Rice,0.9444444444444444,1.0,0.9714285714285714,90,85
RF_VIF10,35,15,2025,7,Other upland crops,0.9444444444444444,0.9340659340659341,0.9392265193370165,90,91
RF_VIF10,35,15,2025,8,Forest,0.9666666666666667,0.8787878787878788,0.9206349206349207,90,99
RF_VIF10,35,15,2025,9,Water,0.9666666666666667,0.9775280898876404,0.9720670391061451,90,89
RF_VIF10,35,15,2025,10,Built,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,90
RF_VIF10,35,15,2026,1,Sun coffee,0.7666666666666667,0.8313253012048193,0.7976878612716763,90,83
RF_VIF10,35,15,2026,2,Intercrop coffee,0.8777777777777778,0.797979797979798,0.835978835978836,90,99
RF_VIF10,35,15,2026,3,Newly planted coffee,0.9888888888888889,0.9468085106382979,0.9673913043478262,90,94
RF_VIF10,35,15,2026,4,Rubber,0.8666666666666667,0.9873417721518988,0.9230769230769232,90,79
RF_VIF10,35,15,2026,5,Partially vegetative,0.9333333333333333,0.9438202247191011,0.9385474860335196,90,89
RF_VIF10,35,15,2026,6,Rice,0.9444444444444444,1.0,0.9714285714285714,90,85
RF_VIF10,35,15,2026,7,Other upland crops,0.9555555555555556,0.9247311827956989,0.9398907103825136,90,93
RF_VIF10,35,15,2026,8,Forest,0.9666666666666667,0.8787878787878788,0.9206349206349207,90,99
RF_VIF10,35,15,2026,9,Water,0.9666666666666667,0.9775280898876404,0.9720670391061451,90,89
RF_VIF10,35,15,2026,10,Built,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,90
RF_VIF10,35,15,2027,1,Sun coffee,0.7666666666666667,0.8214285714285714,0.793103448275862,90,84
RF_VIF10,35,15,2027,2,Intercrop coffee,0.8666666666666667,0.7878787878787878,0.8253968253968254,90,99
RF_VIF10,35,15,2027,3,Newly planted coffee,0.9888888888888889,0.9468085106382979,0.9673913043478262,90,94
