block_size_km,fold,feature,ranking_importance,rank,selected,source_group,season_or_orbit,feature_family
10,2,S1_VVdesc_p25,0.004934405815690662,85,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,2,S1_VHdesc_p50,0.004788978643469568,86,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,2,S1_VVdesc_p50,0.00429696998277581,87,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,2,S1_VH_glcm_asm_5x5,0.004292825215414295,88,False,Sentinel-1 SAR,static_or_annual,texture
10,2,S1_VVdesc_p75,0.004102174461930248,89,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,2,S1_VH_glcm_ent_5x5,0.003636247938565844,90,False,Sentinel-1 SAR,static_or_annual,texture
10,2,S2_wet_PSRI,0.0036199892489192707,91,False,Sentinel-2 optical,wet,spectral_index
10,2,S1_VHdesc_std,0.0031752262200300295,92,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,2,S1_VHdesc_p75,0.0031118749963951965,93,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,2,DEM_hillshade,0.002714317958217696,94,False,DEM/topography,static_or_annual,topographic
10,2,S1_VVminusVH_desc_p50,0.0024346596243731322,95,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,2,S1_VVdesc_std,0.002163733636680449,96,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,2,DEM_aspect,0.002109152391546019,97,False,DEM/topography,static_or_annual,topographic
10,3,S2_dry_CVI,0.021951904636093315,1,True,Sentinel-2 optical,dry,spectral_index
10,3,S2_dry_B11,0.020218015626323277,2,True,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,S2_dry_MNDWI,0.01976185901935471,3,True,Sentinel-2 optical,dry,spectral_index
10,3,L89_dry_SWIR2,0.01893939642678242,4,True,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,3,S2_dry_B2,0.01753521177589852,5,True,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,DEM_elevation,0.01737367581134199,6,True,DEM/topography,static_or_annual,topographic
10,3,S2_dry_B12,0.0167033689778741,7,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,S1_VVasc_p50,0.01604957043798284,8,True,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,3,L89_dry_SWIR2_p75,0.015871144929530255,9,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,3,S2_wet_NBR2,0.015827454255616664,10,True,Sentinel-2 optical,wet,spectral_index
10,3,S2_dry_B3,0.015635886492937113,11,False,Sentinel-2 optical,dry,spectral_band_or_percentile
