feature,source_group,season_or_orbit,feature_family,n,missing_count,missing_pct,inf_count,zero_count,zero_pct,finite_count,mean,std,min,p01,p25,median,p75,p99,max,all_missing,constant_or_near_constant
S2_dry_NDMI,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,2,0.06666666666666667,3000,0.09688336785022,0.19341367836935758,-0.60306007,-0.30290496629999997,-0.04171678825,0.110824815,0.25536525,0.4749168591999995,0.8751739,False,False
S2_dry_NDVI,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,0,0.0,3000,0.4667714857579,0.3351984301393943,-0.57706094,-0.4339484496,0.1936896575,0.5910866699999999,0.7427859400000001,0.8783767219999999,0.9029929,False,False
S2_dry_NDVI_RE,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,1,0.03333333333333333,3000,0.29790503693694,0.25514628150898283,-0.52018994,-0.4054938484,0.108099714,0.383870775,0.50196371,0.6380274185999995,0.70383763,False,False
S2_dry_NDWI,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,0,0.0,3000,-0.47225953571213336,0.30842810756918654,-0.8088094,-0.7738268739999999,-0.68198232,-0.595812585,-0.351453675,0.5790446852999976,0.76975155,False,False
S2_dry_NLI,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,0,0.0,3000,-0.08696338082504,0.48926991711551815,-0.99723387,-0.9843894080000001,-0.5020886,-0.0009478385,0.3469432025,0.683564756,0.76409656,False,False
S2_dry_PSRI,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,3,0.1,3000,0.12081736927084634,0.2004892148208633,-2.5594156,-0.3919041047,0.012937241125,0.07735143,0.22230875249999998,0.6003213564999988,0.78674346,False,False
S2_dry_RDVI,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,0,0.0,3000,0.27721522050686664,0.18625945569000235,-0.22510532,-0.1540173926,0.1134293125,0.33445952999999995,0.43516048,0.5558620989999994,0.6361935,False,False
S2_dry_SR,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,0,0.0,3000,4.6510102386,3.6224572964478394,0.26818183,0.3947538993,1.4804345,3.89598895,6.7893367499999995,15.45354506999999,19.618809,False,False
S2_wet_B11,Sentinel-2 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,1,0.03333333333333333,3000,0.21887206671333334,0.07569756404580519,0.0,0.020792500000000002,0.1875,0.22145,0.257112495,0.4075189999999995,0.53285,False,False
S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,1,0.03333333333333333,3000,0.13729790005466666,0.06906916847511745,0.0,0.01679650098,0.09389999874999999,0.12614999999999998,0.15685,0.36976400019999967,0.4805,False,False
