block_size_km,fold,feature,final_rf_importance,source_group,season_or_orbit,feature_family
15,3,S2_wet_B12,0.03188733672167667,Sentinel-2 optical,wet,spectral_band_or_percentile
15,3,S2_wet_CVI,0.030603056644214807,Sentinel-2 optical,wet,spectral_index
15,3,S2_wet_CI_RE,0.028208013183229207,Sentinel-2 optical,wet,spectral_index
15,3,DEM_slope,0.025123434211469616,DEM/topography,static_or_annual,topographic
15,3,S2_wet_MTCI,0.024489141969777528,Sentinel-2 optical,wet,spectral_index
15,4,S2_dry_MNDWI,0.06571782743241396,Sentinel-2 optical,dry,spectral_index
15,4,S2_dry_CVI,0.062294754999036465,Sentinel-2 optical,dry,spectral_index
15,4,S2_wet_NBR2,0.059691607279620834,Sentinel-2 optical,wet,spectral_index
15,4,S2_dry_B11,0.054072957220577235,Sentinel-2 optical,dry,spectral_band_or_percentile
15,4,DEM_elevation,0.05070050561260194,DEM/topography,static_or_annual,topographic
15,4,S2_dry_NBR2,0.045068240032377936,Sentinel-2 optical,dry,spectral_index
15,4,S2_dry_GNDVI,0.04368888876818313,Sentinel-2 optical,dry,spectral_index
15,4,S1_VHasc_p50,0.04355342898047883,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,4,L89_dry_BSI,0.042821084262944564,Landsat 8/9 optical,dry,spectral_index
15,4,S1_VVasc_p50,0.04270928366466208,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,4,L89_dry_Green,0.040719129373053664,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,4,L89_dry_NIR,0.04023407500492601,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,4,L89_dry_MSI,0.03963077636933856,Landsat 8/9 optical,dry,spectral_index
15,4,L89_dry_NDVI,0.03871060705442931,Landsat 8/9 optical,dry,spectral_index
15,4,S2_wet_NLI,0.03710123656450689,Sentinel-2 optical,wet,spectral_index
15,4,L89_wet_NBR2,0.03482468391102703,Landsat 8/9 optical,wet,spectral_index
15,4,S2_wet_NBR,0.03441525722829246,Sentinel-2 optical,wet,spectral_index
15,4,S2_dry_B2,0.03282742540216997,Sentinel-2 optical,dry,spectral_band_or_percentile
15,4,S2_wet_B12,0.03215203593115577,Sentinel-2 optical,wet,spectral_band_or_percentile
15,4,S2_dry_SR,0.03177509193902119,Sentinel-2 optical,dry,spectral_index
15,4,S2_wet_MTCI,0.028049466364422633,Sentinel-2 optical,wet,spectral_index
15,4,S2_dry_NDI,0.02782549713254569,Sentinel-2 optical,dry,spectral_index
